iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
114,-0.003690851852297783,1999.800048828125,1.5081877708435059,-57.19180679321289,-2.38418573772492e-09,50,,,,,
115,-0.003939318470656872,1962.7086181640625,1.5085679292678833,-55.54427719116211,4.0531158873591266e-08,50,,,,,
116,-0.00031344889430329204,648.0615234375,1.5088385343551636,-29.91135025024414,4.5299529460862686e-08,50,,,,,
117,-0.00037154703750275075,756.30419921875,1.5085158348083496,8.976275444030762,-7.629394360719743e-08,50,,,,,
118,-0.006800651550292969,1727.5,1.508522629737854,-38.53810119628906,-4.3511391822903533e-08,50,,,,,
119,-0.017394166439771652,1231.30517578125,1.509158968925476,-45.872047424316406,-3.5762786065873797e-09,50,,,,,
120,-0.0007197225349955261,183.9519500732422,1.5097006559371948,-8.607217788696289,-6.258487417198921e-08,50,0.0,0.0,1.0,-50.6288978099823,60.0
121,0.00015954817354213446,1922.5203857421875,1.5101591348648071,-61.001827239990234,2.5716520468677118e-08,31,,,,,
122,-5.976359170745127e-05,2993.861572265625,1.5105303525924683,-74.48519134521484,1.5283243115504774e-08,39,,,,,
123,-0.002813420258462429,1050.72998046875,1.511021375656128,-38.61256408691406,4.231929651155042e-08,50,,,,,
124,-0.005388057325035334,198.77635192871094,1.5120391845703125,-17.28675079345703,-5.140900594113873e-09,50,,,,,
125,-0.00352774141356349,430.4889831542969,1.5127882957458496,-16.193645477294922,-2.98023217215615e-10,50,,,,,
126,0.0003508615482132882,1395.1907958984375,1.512912631034851,-38.301788330078125,3.457069297496673e-08,50,,,,,
127,-0.0013553476892411709,1225.2987060546875,1.5125595331192017,-38.03936004638672,-2.5033950024067053e-08,50,,,,,
128,-0.0027594948187470436,928.9288940429688,1.512153148651123,-27.41366195678711,8.940696516468449e-10,50,,,,,
129,-0.003950701095163822,99.61040496826172,1.5126749277114868,-24.615989685058594,-9.16994569166718e-09,13,,,,,
130,-0.0012309789890423417,739.7828369140625,1.5135688781738281,-28.22553062438965,1.0728836485895954e-08,50,0.0,0.65,0.35,-13.23675380051136,44.1
131,-0.0016420602332800627,657.341064453125,1.5144779682159424,-27.321979522705078,-1.9967556497135774e-08,50,,,,,
132,-0.006651435047388077,2920.133056640625,1.5157607793807983,-63.08229446411133,1.0371208247761388e-07,50,,,,,
133,-0.0016880178591236472,834.4161987304688,1.5167547464370728,-22.560400009155273,4.738569359119538e-08,50,,,,,
134,-0.013325996696949005,2324.32421875,1.5179442167282104,-63.489776611328125,-1.2516974834397843e-07,50,,,,,
135,-0.00011316776362946257,10297.7509765625,1.5195481777191162,6.6386308670043945,2.7567148563889532e-08,50,,,,,
136,-0.0011754798470064998,980.8948974609375,1.5214920043945312,-42.75075149536133,3.33786012163273e-08,50,,,,,
137,-0.00315546034835279,1867.026611328125,1.5232125520706177,-56.83290100097656,-3.814697180359872e-08,50,,,,,
138,-0.000651559850666672,2819.44091796875,1.5244799852371216,-69.59880828857422,-5.2452087118126656e-08,50,,,,,
139,-0.004263637121766806,1700.52978515625,1.525781273841858,-56.859619140625,-7.5101851848558e-08,50,,,,,
140,-0.009849724359810352,1536.2437744140625,1.5270391702651978,-58.480934143066406,3.5762788286319847e-08,50,0.0,0.0,1.0,-55.33083999156952,60.0
141,-0.01279747486114502,798.2000732421875,1.5286738872528076,-43.154541015625,-2.8610228852699038e-08,50,,,,,
142,-0.012486410327255726,1188.1044921875,1.5304619073867798,-51.71391296386719,1.907348590179936e-08,50,,,,,
143,0.0005453670164570212,1950.7784423828125,1.5323548316955566,-64.77301025390625,-3.099441414633475e-08,50,,,,,
144,-0.003938798792660236,2301.010009765625,1.5343048572540283,-66.60269165039062,-7.152557657263969e-08,50,,,,,
145,-0.0035315132699906826,1823.83056640625,1.5359724760055542,-49.985816955566406,2.3841858265427618e-08,50,,,,,
146,-0.0021416854579001665,827.8710327148438,1.5373196601867676,-25.254676818847656,3.658234959402762e-08,50,,,,,
147,-0.0019684506114572287,2296.676025390625,1.5390089750289917,-68.33519744873047,1.907348590179936e-08,50,,,,,
148,-0.004783961921930313,1724.24560546875,1.5402894020080566,-60.40631866455078,-7.1525572131747595e-09,50,,,,,
149,-0.004555621184408665,11884.6484375,1.540940761566162,22.335073471069336,7.867813422990366e-08,50,,,,,
150,-0.002050623996183276,937.1244506835938,1.5411994457244873,-20.203960418701172,7.331371421059885e-08,50,0.0,0.0,1.0,-0.9140960797667503,60.0
151,0.0012300109956413507,811.3779907226562,1.541188359260559,-21.611162185668945,-8.940697071579962e-09,50,,,,,
152,-0.0020428213756531477,893.6780395507812,1.541258454322815,-23.92971420288086,2.1287373641598606e-08,42,,,,,
153,-0.003578734351322055,9272.22265625,1.5417901277542114,-2.101072072982788,6.861984758188555e-08,50,,,,,
154,-0.0029258800204843283,691.0306396484375,1.5423789024353027,-12.162453651428223,1.3336538984276558e-08,50,,,,,
